Team,Player,Goals,Assists,Tackles,Accurate passes,Duels_won,Ground duels (won),Aerial duels (won),Minutes played,Position,Sofascore rating
Botafogo,Júnior Santos,1,0,0,25/28,6,5,1,90,M,8.3
Botafogo,Kaué Rodrigues Pessanha,0,1,0,22/27,5,4,1,90,M,7.7
Botafogo,Matías Segovia,0,0,0,26/30,7,7,0,70,F,7.6
Botafogo,Diego Hernández,0,0,0,10/15,4,3,1,70,F,7.3
Botafogo,Igo Gabriel,0,0,0,14/15,1,0,1,90,G,7.3
Botafogo,Marçal,0,0,1,44/55,4,3,1,90,M,7.3
Botafogo,Newton Junior,0,0,1,38/42,7,4,3,90,D,7.3
Botafogo,Bastos,0,0,0,35/38,4,1,3,90,D,7.1
Botafogo,Jeffinho,1,0,0,11/12,4,3,1,38,F,7.0
Botafogo,Janderson,0,0,0,14/15,5,5,0,74,F,6.9
Botafogo,Jefferson Maciel,0,0,0,27/34,2,1,1,89,D,6.7
Botafogo,Eduardo,0,0,0,9/10,0,0,0,38,F,6.6
Botafogo,Marlon Freitas,0,0,0,11/14,0,0,0,38,M,6.6
Botafogo,Matheus Nascimento,0,0,0,4/5,2,0,1,34,F,6.6
Botafogo,Jacob Montes,0,0,2,12/14,3,3,0,70,M,6.4
Botafogo,Lucas Halter,0,0,0,6/6,1,1,0,19,D,6.4
