Team,Player,Goals,Assists,Tackles,Accurate passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes played,Position,Sofascore rating
Nova Iguaçu,Carlinhos,1,0,0,4/7,5,3,2,67,F,7.4
Nova Iguaçu,Bill,0,0,0,11/13,3,3,0,67,M,7.0
Nova Iguaçu,Albert,0,0,0,16/21,6,6,0,90,M,6.9
Nova Iguaçu,Fabricio,0,0,0,15/25,0,0,0,90,G,6.9
Nova Iguaçu,Yago,0,0,0,14/16,5,5,0,90,F,6.9
Nova Iguaçu,Alexandre Junio Santos da Silva,0,0,0,13/15,7,7,0,56,M,6.8
Nova Iguaçu,Cayo Tenório,0,0,0,29/36,6,5,1,90,D,6.8
Nova Iguaçu,Emerson Carioca,0,0,0,9/11,2,0,2,41,F,6.8
Nova Iguaçu,Sergio Raphael dos Anjos,0,0,0,16/23,1,1,0,84,D,6.8
Nova Iguaçu,Gabriel,0,0,0,30/38,4,2,2,90,D,6.7
Nova Iguaçu,Joao Victor,0,0,0,5/6,1,1,0,52,M,6.7
Nova Iguaçu,Lucas Campos,0,0,0,3/5,6,6,0,41,M,6.5
Nova Iguaçu,Sidney Pages,0,0,0,5/5,0,0,0,24,D,6.5
Nova Iguaçu,Índio,0,0,0,9/11,4,4,0,56,M,6.4
Nova Iguaçu,Italo,0,0,0,10/15,2,2,0,90,D,6.1
Nova Iguaçu,Ronald,0,0,0,6/10,1,1,0,52,M,5.9
