Player,Clearances,Blocked shots,Interceptions,Tackles,Dribbled past,Notes,Position,Sofascore rating
Gerson Júnior,0,0,0,0,0,1,-,M,7.3
Patrick,1,1,0,0,0,1,Error led to shot: 2,F,7.3
Leandro Naziozeno,1,0,0,1,0,0,Error led to shot: 1,G,7.2
Arlen,4,2,0,2,0,1,-,D,6.9
Jackson Caucaia,1,0,0,1,0,0,Error led to shot: 1,M,6.6
Clisman,0,0,0,0,1,0,-,F,6.6
Diego Miticov,5,0,2,3,0,0,-,M,6.5
Pablo Alves,0,0,0,0,0,0,-,M,6.5
Victor Gualberto Araujo,0,0,0,0,0,1,-,M,6.4
João Cabral,1,1,0,0,0,0,-,F,6.2
João Victor de Sousa Cabral,9,4,1,4,0,1,Error led to shot: 1,D,6.2
Igor,5,4,0,1,0,3,-,D,6.0
Matheus Claudino,4,1,1,2,0,2,-,D,6.0
Paulo Victor,5,5,0,0,0,3,-,D,5.9
Ítalo,0,0,0,0,0,2,Error led to shot: 2,M,5.3
