Team,Player,Goals,Assists,Tackles,Accurate passes,Duels won,Ground duels won,Aerial duels won,Minutes played,Position,Sofascore rating
Flamengo,Everton,1,0,0,38/44 (86%),13 (7),7,0,90',M,9.6
Flamengo,Fabrício Bruno,0,0,0,54/57 (95%),14 (6),1,5,90',D,7.8
Flamengo,Giorgian De Arrascaeta,0,1,1,31/37 (84%),13 (9),9,0,51',F,7.8
Flamengo,Léo Pereira,1,0,0,33/33 (100%),18 (10),6,4,90',D,7.8
Flamengo,Bruno Henrique,0,0,0,16/19 (84%),11 (7),5,2,35',M,7.7
Flamengo,Luiz Araújo,0,1,1,33/35 (94%),14 (4),4,0,66',M,7.7
Flamengo,Guillermo Varela,1,0,1,50/52 (96%),13 (2),2,0,80',D,7.4
Flamengo,Pedro,1,0,0,19/22 (86%),10 (1),1,0,90',F,7.4
Flamengo,Ayrton Lucas,0,0,0,40/46 (87%),27 (10),7,3,90',D,7.2
Flamengo,Gabriel Barbosa,0,0,0,14/18 (78%),6 (2),2,0,50',F,7.1
Flamengo,Erick Pulgar,0,0,0,40/43 (93%),7 (4),4,0,66',M,7.0
Flamengo,Gerson,0,1,0,39/40 (98%),13 (3),3,0,66',M,7.0
Flamengo,Wesley França,0,0,0,12/14 (86%),6 (3),3,0,21',D,7.0
Flamengo,Agustín Rossi,0,0,0,10/10 (100%),0 (0),0,0,90',G,6.9
Flamengo,Allan,0,0,0,18/22 (82%),4 (3),3,0,35',M,6.9
Flamengo,Victor Hugo,0,0,1,20/21 (95%),6 (2),2,0,35',M,6.9
Flamengo,Clisman,0,0,1,12/15 (80%),10 (5),5,0,60',F,6.6
Flamengo,Alex Sandro,0,0,0,25/28 (89%),8 (3),2,1,90',D,6.6
Flamengo,Isla,0,0,1,33/38 (87%),9 (3),3,0,90',D,6.5
Flamengo,Mauricio Isla,0,0,1,36/40 (90%),10 (5),5,0,90',D,6.5
